sno,day,month,year,date,seiz_location,seiz_lat,seiz_long,seiz_district,seiz_state,seiz_country,product,iwt_number,iwt_indian_tft_number,iwt_quantity (kg),transport_involved,in_transit_location_type,last_transit_location,last_transit_district,last_transit_state,last_transit_country,sour_location,sour_district,sour_state,sour_country,destination1_location,destination1_district,destination1_state,destination1_country,destination2_location,destination2_district,destination2_state,destination2_country,group1,group1_number,group2,group2_number,group3,group3_number,species1,species1_number,species2,species2_number,species3,species3_number,species4,species4_number,species5,species5_number,media_link.1,media_link.2,media_link.3
1,9,March,2013,"March 9, 2013",Mumbai International Airport,19.076,72.8777,Mumbai,Maharashtra,India,Live,97,97,NA,Air,In-transit (Airport),NA,NA,NA,NA,NA,NA,NA,NA,Bangkok,NA,NA,Thailand,NA,NA,NA,NA,Tortoise/Hardshell Turtle,97,NA,NA,NA,NA,Spotted black terrapin,NA,Tricarinate hill turtle,NA,Indian eyed turtle,NA,Pangshura sp.,NA,NA,NA,http://twocircles.net/2013mar10/tortoise_smuggling_plan_foiled_mumbai_airport.html,NA,NA
2,30,April,2013,"April 30, 2013",Kolkata Airport,22.5726,88.3639,Kolkata,West Bengal,India,Live,21,21,NA,Air,In-transit (Airport),NA,NA,NA,NA,NA,NA,NA,NA,Chennai,Chennai,Tamil Nadu,India,NA,NA,NA,NA,Tortoise/Hardshell Turtle,21,NA,NA,NA,NA,Indian star tortoise,21,NA,NA,NA,NA,NA,NA,NA,NA,https://timesofindia.indiatimes.com/city/kolkata/21-tortoises-seized-at-airport/articleshow/19812749.cms,NA,NA
3,23,May,2013,"May 23, 2013",Kengeri,12.8997,77.4827,Bengaluru,Karnataka,India,Live,50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tortoise/Hardshell Turtle,50,NA,NA,NA,NA,Indian star tortoise,50,NA,NA,NA,NA,NA,NA,NA,NA,www.robindesbois.org/wp-content/uploads/2015/11/ON_THE_TRAIL_1.pdf,NA,NA
4,12,June,2013,"June 12, 2013","Venkatapuram, Kalidindi mandal",16.5181,81.2753,Krishna,Andhra Pradesh,India,Live,2000,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Odisha and West Bengal,India,NA,NA,NA,NA,Softshell Turtle,2000,NA,NA,NA,NA,Trionychidae,2000,NA,NA,NA,NA,NA,NA,NA,NA,https://www.thehindu.com/news/national/andhra-pradesh/2000-turtles-rescued-released-in-kolleru-lake/article4826293.ece,NA,NA
5,DD,June,2013,"June DD, 2013",Samadhikuppam,11.6113,79.6502,Cuddalore,Tamil Nadu,India,Live,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Softshell Turtle,3,Tortoise/Hardshell Turtle,1,NA,NA,Trionychidae,3,Indian black turtle,1,NA,NA,NA,NA,NA,NA,www.robindesbois.org/wp-content/uploads/2015/11/ON-THE-TRAIL-1.pdf,NA,NA
6,21,July,2013,"July 21, 2013",Thiruvananthapuram Central railway station,8.5241,76.9366,Thiruvananthapuram,Kerala,India,Live,1,1,NA,Rail,In-transit (Train station),Coimbatore,Coimbatore,Tamil Nadu,India,Aliyar,Coimbatore,Tamil Nadu,India,NA,NA,NA,NA,NA,NA,NA,NA,Tortoise/Hardshell Turtle,1,NA,NA,NA,NA,Indian star tortoise,1,NA,NA,NA,NA,NA,NA,NA,NA,https://www.thehindu.com/news/national/kerala/star-tortoise-seized-three-arrested/article4938262.ece,https://www.hindustantimes.com/india/kerala-star-tortoise-seized-from-train-passenger-s-baggage/story-MjIQOsw1sghxO9To7k8E1K.html,NA
7,30,July,2013,"July 30, 2013",Kanheri village,29.6709,75.9318,Fatehabad,Haryana,India,Live,16,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unspecified,16,NA,NA,NA,NA,Unspecified,16,NA,NA,NA,NA,NA,NA,NA,NA,https://www.hindustantimes.com/india/turtles-poaching-go-unabated-in-state/story-OmvHO7LMHqOJMQ5QNwmTCK.html,NA,NA
8,18,August,2013,"August 18, 2013","Madanpur, near Bhitarkanika National Park",20.5821,86.6798,Kendrapara,Odisha,India,Live,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Softshell Turtle,14,NA,NA,NA,NA,Trionychidae,14,NA,NA,NA,NA,NA,NA,NA,NA,https://www.news18.com/news/india/turtle-smuggling-racket-busted-in-odisha-one-arrested-632544.html,NA,NA
9,26,August,2013,"August 26, 2013",Bhubaneswar Railway station,20.2961,85.8245,Khordha,Odisha,India,Live,81,81,NA,Rail,In-transit (Train station),Birapurusottampur railway station,Puri,Odisha,India,Maharipokhari village,Puri,Odisha,India,Kolkata,Kolkata,West Bengal,India,NA,NA,NA,NA,Softshell Turtle,81,NA,NA,NA,NA,Trionychidae,81,NA,NA,NA,NA,NA,NA,NA,NA,http://newindianexpress.com/states/odisha/2013/aug/28/Forest-department-stumbles-upon-turtle-smuggling-racket-511097.html,www.robindesbois.org/wp-content/uploads/2015/11/ON_THE_TRAIL_2.pdf,https://timesofindia.indiatimes.com/city/bhubaneswar/81-turtles-seized-from-train-2-held/articleshow/22110983.cms
10,27,August,2013,"August 27, 2013",Maharipokhari village,20.0027,85.7936,Puri,Odisha,India,Live,41,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Softshell Turtle,41,NA,NA,NA,NA,Trionychidae,41,NA,NA,NA,NA,NA,NA,NA,NA,http://newindianexpress.com/states/odisha/2013/aug/28/Forest-department-stumbles-upon-turtle-smuggling-racket-511097.html,www.robindesbois.org/wp-content/uploads/2015/11/ON_THE_TRAIL_2.pdf,NA
